Finding,Severity,Target,Object Type,Domain,Description,Recommendation,Exploitable
Password Policy Weakness,Low,Contractors PSO,policy,fabrikam.local,Fine-grained password policy for contractors is weaker than default.,Align the fine-grained policy with the domain baseline.,false
Service Account Risk,Medium,svc_backup,service_account,fabrikam.local,Service account has interactive logon rights it does not require.,Remove interactive logon rights; restrict to service logon only.,false
Service Account Risk,High,svc_deploy,service_account,fabrikam.local,Service account has excessive rights across multiple servers.,Scope the account's rights to only the systems it needs.,false
Service Account Risk,Medium,svc_scanner,service_account,fabrikam.local,Service account credentials are shared across multiple scheduled tasks.,Issue dedicated credentials per task; avoid credential sharing.,false
Service Account Risk,Low,svc_helpdesk,service_account,fabrikam.local,Service account has more file share access than its function requires.,Right-size file share ACLs for this account.,false
Trust Risk,Medium,partner.local,domain,fabrikam.local,External trust to partner.local is configured without SID filtering.,Enable SID filtering / quarantine on the external trust.,false
Trust Risk,Low,vendor.local,domain,fabrikam.local,Forest trust to vendor.local allows broader authentication scope than required.,Scope authentication on the trust to only the required resources.,false
Anonymous LDAP Bind Enabled,Medium,DC01,computer,fabrikam.local,Domain controller allows anonymous LDAP binds.,Disable anonymous LDAP binds via dsHeuristics.,false
Anonymous LDAP Bind Enabled,Medium,DC02,computer,fabrikam.local,Domain controller allows anonymous LDAP binds.,Disable anonymous LDAP binds via dsHeuristics.,false
SMB Signing Not Required,Low,WKS-118,computer,fabrikam.local,"SMB signing is not enforced, enabling relay attacks.",Enforce SMB signing via Group Policy.,false
Null Session Enabled,Low,FS01,computer,fabrikam.local,"Null sessions are permitted, allowing anonymous enumeration.",Restrict anonymous access via RestrictAnonymous registry policy.,false
